Place ID,Place Name,Author,Author Rating,Date,Review Text
ChIJyfctL93ZyhQR0zB3EOUv4kM,Anadolu Lokantası,B. Y. K.,5,bir hafta önce,Istdan  izmire dönüs yolunda  mola icin durdugum yerde gördum ve yemeklerini tatdıgım yer fiyatlar ortalamanın biraz üstunde ama lezzetli ve güzeldi.
ChIJW8wDtpq5yhQRWSZU8P1C1ds,Oba Et Lokantası,M. S.,2,bir yıl önce,Tavuk çorbası fiyatina göre gayet iyiydi ve sıcacıktı tavuk biraz azdı içinde ama fuyati dedigim gbi ucuz 60 tl gbi bisey ama döner yenmez yag neredyse yarısı ve kuruydu etler yag saf yag pilav soğuktu patates ve turşular eski gorunuyordu tat alamadim salatada tuz yerine şeker koymuslar galiba yinede aç kalmazsiniz tercih. Meselesi fiyatlar ortalama lezzet yok
ChIJW8wDtpq5yhQRWSZU8P1C1ds,Oba Et Lokantası,S. T.,5,9 ay önce,Tamm bir esnaf lokantası. Fiyatlar gayet makul. Patlıcan güveç yedik. Lezzeti âlâ.
ChIJW8wDtpq5yhQRWSZU8P1C1ds,Oba Et Lokantası,A. A.,5,bir yıl önce,"Ara sokakta fark edilmeyen bir mekan. Ama yemekler çoğu yıldızlı restoranlardan daha güzel. Fiyat açısından çok makul. Yerli fiyatları. Kebapları, çorbaları ve ev yemekleri hepsi ayrı ayrı lezzetli. Sinan bey ve arkadaşları çok gayretli.
Herkese mutlak tavsiyem.
Yemeyen kaybeder."
ChIJW8wDtpq5yhQRWSZU8P1C1ds,Oba Et Lokantası,E.,5,bir yıl önce,"Enfes tat , güler yüzlü hizmet emeğinize sağlık."
ChIJW8wDtpq5yhQRWSZU8P1C1ds,Oba Et Lokantası,G. M.,5,2 yıl önce,"Çok güzel ve temiz bir mekan. Yemekleri gerçekten çok lezzetli. Çalışanları nazik ve içeride siqara içlimiyordu👍🏻 Biz adana, urfa ve kuzu şiş sipariş etdik. Porsiyonları büyükdü. Gerçeten doyduk) Yemeklerin yanında salata da veriyorlar. Burayı daha önceden keşf etmediyimize üzüldük."
ChIJ3UEYXZa5yhQRbYRdop9jkPs,Rumeli Restaurant,F. G.,5,bir ay önce,Bu mekan şahane 10 üzerinden yüz.hizmet olsun hijyen olsun çok güzel.Teşekürler ellerinize emeginize saglık .Gerçekten çok memnun kaldım.🤩🤩
ChIJ3UEYXZa5yhQRbYRdop9jkPs,Rumeli Restaurant,S. T.,5,10 ay önce,Her şey harikaydi yemekler lezzetliydi servis hizli çok güzel deneyim oldu çok teşekkür ederim Rumeli ailesi.
ChIJ3UEYXZa5yhQRbYRdop9jkPs,Rumeli Restaurant,S. O.,5,3 ay önce,Çok güzel servis yapıldı   Batuhan şeff  ilgilendi bizimle  masaya misafirlerimle gittim. Çok ilgli ve seri serveis yaptı Batuhan şeffe teşekkürlerimi iletiyorum
ChIJ3UEYXZa5yhQRbYRdop9jkPs,Rumeli Restaurant,E. Ş.,5,3 ay önce,"BU RESTORANDAN MEMNUNİYETLE AYRILDIK. ÖZELLİKLE TAS KEBABINI
ŞİDDETLE TAVSİYE EDİYORUM. BATUHAN BEY VE EKİBİNE İLGİLERİ İÇİN ÇOK TESEKKÜR EDİYORUM TÜRKİYEDEKİ YENİ FAVORİM ARTIK BURASI."
