Place ID,Place Name,City,Category,Address,Latitude,Longitude,Types,Average Rating,Total Review Count,Price Level
ChIJv2_JSXGPKBUR4Y2RPw-Q6P4,Ciğerci Hadi,Adana,Kebab Restaurant,"Döşeme, 60054. Sk. No:2, 01130 Seyhan/Adana, Türkiye",36.9979874,35.317507899999995,"restaurant, halal_restaurant, barbecue_restaurant, steak_house, kebab_shop, fine_dining_restaurant, turkish_restaurant, pastry_shop, dessert_shop, bakery, confectionery, food_store, store, point_of_interest, food, establishment",4.3,612.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJ0a555EOPKBURelDPOn4yt1I,Kebap 52,Adana,Kebab Restaurant,"Kurtuluş, Ramazanoğlu Cd. 16/A, 01120 Seyhan/Adana, Türkiye",36.9982108,35.3198143,"kebab_shop, restaurant, point_of_interest, food, establishment",4.3,1197.0,PRICE_LEVEL_MODERATE
ChIJM2iiNa2OKBURe2vCtMnv_gU,Onbaşılar Kebap,Adana,Kebab Restaurant,"Karslılar, 82046. Sk. No:3 D:3, 01170 Çukurova/Adana, Türkiye",37.0576984,35.3025002,"kebab_shop, turkish_restaurant, restaurant, point_of_interest, food, establishment",2.6,1144.0,PRICE_LEVEL_MODERATE
ChIJAwnuNASPKBURj39gvifIPHM,Tarihi Kuruköprü Kebapçısı,Adana,Kebab Restaurant,"Kuruköprü Mahallesi Müze Sokak Milli Piyango Karşısı, Kuruköprü, 01060 Seyhan/Adana, Türkiye",36.989910900000005,35.3225897,"kebab_shop, restaurant, point_of_interest, food, establishment",2.3,347.0,PRICE_LEVEL_MODERATE
ChIJ0SlT2rWPKBUREWn3Roh9viM,HAKANCAN KEBAP & LAHMACUN,Adana,Kebab Restaurant,"Ziyapaşa, Baraj Cad. No:94/C, 01140 Seyhan/Adana, Türkiye",37.0145112,35.3224745,"kebab_shop, restaurant, point_of_interest, food, establishment",4.1,132.0,PRICE_LEVEL_MODERATE
ChIJY2GeY6m3yhQRf06cqFLScpg,Adana'dan Dürüm & Kebap,Adana,Kebab Restaurant,"Dikilitaş, Emirhan Cd. 59/A, 34349 Beşiktaş/İstanbul, Türkiye",41.0568079,29.003265799999998,"turkish_restaurant, kebab_shop, restaurant, point_of_interest, food, establishment",3.1,1738.0,PRICE_LEVEL_INEXPENSIVE
ChIJ0cN7hmCPKBURgpI_f_bx7zY,Tarihi Nuri Has Kebapçısı,Adana,Kebab Restaurant,"Karasoku, 28007. Sk. No:10, 01010 Seyhan/Adana, Türkiye",36.985331,35.325099,"kebab_shop, restaurant, point_of_interest, food, establishment",3.3,456.0,PRICE_LEVEL_EXPENSIVE
ChIJK3czc2GJKBUReOx0n6Oxd_0,Güney Marina,Adana,Seafood Restaurant,"Adnan Menderes Bulvarı, Karslılar, 82072. Sk. No:12, 01170 Çukurova/Adana, Türkiye",37.0646444,35.2992268,"oyster_bar_restaurant, restaurant, point_of_interest, food, establishment",2.1,620.0,PRICE_LEVEL_EXPENSIVE
ChIJy1qTAEyJKBURlMpaQt0l6nU,Mavi Balık Adana,Adana,Seafood Restaurant,"Güzelyalı, Aşıklar Blv No:4/A, 01170 Çukurova/Adana, Türkiye",37.0532771,35.2976089,"seafood_restaurant, restaurant, point_of_interest, food, establishment",2.8,1324.0,PRICE_LEVEL_INEXPENSIVE
ChIJWSO0RRaJKBURtAsHBKCOR_A,Lagos Balık Restaurant,Adana,Seafood Restaurant,"Karslılar, Süleyman Demirel Blv. No:4/A, 01170 Çukurova/Adana, Türkiye",37.0528487,35.2960769,"restaurant, point_of_interest, food, establishment",2.1,680.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJT91RewCPKBURfU2LiyWqwdw,LAKERDA BALIK,Adana,Seafood Restaurant,"Güzelyalı Mahallesi Adnan Menderes Bulvarı No:59/A Çukurova, Güzelyalı, 01170 Seyhan/Adana, Türkiye",37.0482985,35.3116144,"breakfast_restaurant, seafood_restaurant, restaurant, point_of_interest, food, establishment",4.6,1445.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJ1Tguid-OKBURzzruK_34ECM,Çapa Restaurant,Adana,Seafood Restaurant,"Yenibaraj, 68009. Sk. 9/A, 01150 Seyhan/Adana, Türkiye",37.0213039,35.3228286,"restaurant, point_of_interest, food, establishment",2.7,624.0,PRICE_LEVEL_EXPENSIVE
ChIJKWjjCWeJKBUR9rtJ-xdkVrI,Gölevi Balık Restaurant,Adana,Seafood Restaurant,"Kurttepe Mah. Adnan Menderes Blv. Göl Kenarı Yolu, Kurttepe, 01170 Çukurova/Adana, Türkiye",37.0665177,35.279226,"restaurant, point_of_interest, food, establishment",3.7,906.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJ9-JhpyCPKBURTUc7WumEUkM,Ege Balık Adana,Adana,Seafood Restaurant,"Yenibaraj Mahallesi, 68012. Sokak Damla Sitesi 2-1 D:A Blok, D: 1, Seyhan, 01150 Seyhan/Adana, Türkiye",37.0220457,35.3204297,"fish_and_chips_restaurant, restaurant, point_of_interest, food, establishment",2.1,290.0,PRICE_LEVEL_EXPENSIVE
ChIJT_65u2CJKBURdVehz_L410A,Bigfish Restaurant Adana,Adana,Seafood Restaurant,"Karslılar, 82070. Sk. 10/7, 01170 Çukurova/Adana, Türkiye",37.0624087,35.3025317,"seafood_restaurant, restaurant, point_of_interest, food, establishment",4.0,1076.0,PRICE_LEVEL_EXPENSIVE
ChIJI948YkGPKBURBJ6LjxD7wG8,ADANA DOST BALIK,Adana,Seafood Restaurant,"KURTULUŞ MAH. ZİYAPAŞA BULVARI RAMAZANOĞLU CAD.KÖŞEM APT . ALTI, Kurtuluş, 01130 Seyhan/Adana, Türkiye",36.998174,35.3196723,"seafood_restaurant, restaurant, point_of_interest, food, establishment",3.0,1519.0,PRICE_LEVEL_INEXPENSIVE
ChIJR7r7Z-I5JhURc4PuHZX_lMs,Balıkçı Fevzi Rıhtım Restoran ve Pansiyon,Adana,Seafood Restaurant,"Yeni, Orman Cd., 01900 Karataş/Adana, Türkiye",36.5659493,35.3891049,"restaurant, point_of_interest, food, establishment",4.7,605.0,PRICE_LEVEL_VERY_EXPENSIVE
